address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
0.39855072463768115,3450,final,0.8260869565217391,0.05902450784279138,3.210483862006146,0.1998099170733189,independent_noun_exhaustive,423975,0.8260869565217391,1.3494345461830803,offline,192,138,1.4084590540258721,0.623273701998718,wheel,17161,1.4663913883075632
1.0,172,final,,0.0,,,joint_iid_full_model,18920,,1.3833241328947241,offline,192,172,1.3833241328947241,0.6209845640383813,bicycle,19176,1.4459795026814983
1.0,343,final,,0.0,,,joint_iid_full_model,31553,,1.3709853335791635,offline,192,343,1.3709853335791635,0.624851886498285,boat,32070,1.4212937229327187
1.0,329,final,,0.0,,,joint_iid_full_model,39660,,1.4177057167201061,offline,192,329,1.4177057167201061,0.6102770931361565,brother,40167,1.4654042592643282
1.0,67,final,,0.0,,,joint_iid_full_model,6517,,1.3766540338625102,offline,192,67,1.3766540338625102,0.6297415747317515,bus,6617,1.4148663178804652
1.0,117,final,,0.0,,,joint_iid_full_model,11321,,1.270478395846412,offline,192,117,1.270478395846412,0.6465419747716399,cow,11495,1.3318511191841413
1.0,84,final,,0.0,,,joint_iid_full_model,9267,,1.453537307867088,offline,192,84,1.453537307867088,0.6195293365988712,dragon,9391,1.4984113896138092
1.0,272,final,,0.0,,,joint_iid_full_model,27544,,1.2877138590109514,offline,192,272,1.2877138590109514,0.640133085289067,duck,27952,1.3548468024852143
1.0,97,final,,0.0,,,joint_iid_full_model,9029,,1.278582475396186,offline,192,97,1.278582475396186,0.6471741261025808,elephant,9183,1.3048758823004707
1.0,169,final,,0.0,,,joint_iid_full_model,17514,,1.39871082643187,offline,192,169,1.39871082643187,0.6210680321872714,fairy,17771,1.43407986283631
1.0,169,final,,0.0,,,joint_iid_full_model,22299,,1.5750075516182989,offline,192,169,1.5750075516182989,0.5856414801684023,grandma,22565,1.6049197703487668
1.0,79,final,,0.0,,,joint_iid_full_model,7787,,1.3359506445463267,offline,192,79,1.3359506445463267,0.6271207900734364,horse,7898,1.594734199079087
1.0,160,final,,0.0,,,joint_iid_full_model,16402,,1.3661033166061975,offline,192,160,1.3661033166061975,0.6241437327244321,lion,16642,1.4396207271007917
1.0,115,final,,0.0,,,joint_iid_full_model,11365,,1.288503463613577,offline,192,115,1.288503463613577,0.6420213227008754,monkey,11537,1.326755409607743
1.0,404,final,,0.0,,,joint_iid_full_model,37141,,1.276049648290285,offline,192,404,1.276049648290285,0.6446605028214163,mouse,37747,1.314966522052777
1.0,88,final,,0.0,,,joint_iid_full_model,10232,,1.458760912500647,offline,192,88,1.458760912500647,0.6048216007714561,neighbor,10370,1.5197570593285814
1.0,287,final,,0.0,,,joint_iid_full_model,32357,,1.7868610200931492,offline,192,287,1.7868610200931492,0.5571885958225339,parent,32795,1.7781916044746744
1.0,262,final,,0.0,,,joint_iid_full_model,32208,,1.437079800887339,offline,192,262,1.437079800887339,0.6127944062806673,pet,32608,1.4817151547180192
1.0,94,final,,0.0,,,joint_iid_full_model,10164,,1.4363672264177831,offline,192,94,1.4363672264177831,0.6157506311905224,plane,10298,1.461514402394342
1.0,82,final,,0.0,,,joint_iid_full_model,9495,,1.5427633937115213,offline,192,82,1.5427633937115213,0.5915331807780321,princess,9614,1.5772422935750892
1.0,81,final,,0.0,,,joint_iid_full_model,7903,,1.3331536379697628,offline,192,81,1.3331536379697628,0.6222748224741498,queen,8027,1.3932774363054765
