accuracy,stage,task
67.14285612106323,43,34
66.66666865348816,43,35
72.07792401313782,43,36
56.05095624923706,43,37
76.22377872467041,43,38
70.17543911933899,43,39
65.21739363670349,43,40
55.40540814399719,43,41
56.61764740943909,43,42
83.33333134651184,43,43
72.03390002250671,44,1
66.92307591438293,44,2
67.12328791618347,44,3
71.02272510528564,44,4
75.0,44,5
74.16666746139526,44,6
66.08695387840271,44,7
75.18796920776367,44,8
60.447758436203,44,9
73.18840622901917,44,10
66.00000262260437,44,11
61.20689511299133,44,12
70.07874250411987,44,13
66.66666865348816,44,14
56.896549463272095,44,15
60.90225577354431,44,16
66.66666865348816,44,17
76.41509175300598,44,18
61.46789193153381,44,19
58.415842056274414,44,20
79.16666865348816,44,21
64.16666507720947,44,22
58.11966061592102,44,23
60.4651153087616,44,24
61.538463830947876,44,25
70.7317054271698,44,26
62.83186078071594,44,27
79.41176295280457,44,28
63.15789222717285,44,29
70.56074738502502,44,30
76.31579041481018,44,31
54.36893105506897,44,32
66.66666865348816,44,33
65.71428775787354,44,34
58.865249156951904,44,35
73.3766257762909,44,36
50.31847357749939,44,37
73.42657446861267,44,38
69.29824352264404,44,39
68.84058117866516,44,40
50.0,44,41
60.29411554336548,44,42
68.75,44,43
79.45205569267273,44,44
66.10169410705566,45,1
66.15384817123413,45,2
61.64383292198181,45,3
69.88636255264282,45,4
70.3125,45,5
75.83333253860474,45,6
59.130436182022095,45,7
73.68420958518982,45,8
61.194032430648804,45,9
73.9130437374115,45,10
61.000001430511475,45,11
57.758623361587524,45,12
71.65354490280151,45,13
65.90909361839294,45,14
56.896549463272095,45,15
63.90977501869202,45,16
71.42857313156128,45,17
76.41509175300598,45,18
64.2201840877533,45,19
55.44554591178894,45,20
79.16666865348816,45,21
62.5,45,22
58.11966061592102,45,23
51.16279125213623,45,24
63.07692527770996,45,25
65.04064798355103,45,26
63.716816902160645,45,27
77.45097875595093,45,28
61.40350699424744,45,29
70.09345889091492,45,30
75.43859481811523,45,31
53.39806079864502,45,32
70.27027010917664,45,33
62.85714507102966,45,34
60.9929084777832,45,35
74.02597665786743,45,36
57.324838638305664,45,37
76.22377872467041,45,38
70.17543911933899,45,39
64.49275612831116,45,40
56.75675868988037,45,41
55.14705777168274,45,42
66.66666865348816,45,43
65.75342416763306,45,44
89.52381014823914,45,45
69.4915235042572,46,1
64.61538672447205,46,2
61.64383292198181,46,3
69.31818127632141,46,4
64.84375,46,5
72.50000238418579,46,6
63.4782612323761,46,7
72.93233275413513,46,8
60.447758436203,46,9
68.84058117866516,46,10
58.99999737739563,46,11
53.448277711868286,46,12
71.65354490280151,46,13
56.81818127632141,46,14
58.62069129943848,46,15
55.639100074768066,46,16
64.28571343421936,46,17
77.35849022865295,46,18
62.38532066345215,46,19
57.42574334144592,46,20
79.16666865348816,46,21
65.83333611488342,46,22
58.11966061592102,46,23
51.16279125213623,46,24
56.92307949066162,46,25
62.60162591934204,46,26
61.06194853782654,46,27
73.52941036224365,46,28
58.77193212509155,46,29
67.7570104598999,46,30
68.42105388641357,46,31
49.514561891555786,46,32
66.66666865348816,46,33
60.00000238418579,46,34
58.865249156951904,46,35
70.77922224998474,46,36
56.05095624923706,46,37
69.2307710647583,46,38
70.17543911933899,46,39
57.971012592315674,46,40
52.70270109176636,46,41
52.941179275512695,46,42
66.66666865348816,46,43
65.75342416763306,46,44
86.66666746139526,46,45
78.7401556968689,46,46
62.711864709854126,47,1
61.538463830947876,47,2
60.273975133895874,47,3
67.04545617103577,47,4
65.625,47,5
72.50000238418579,47,6
63.4782612323761,47,7
66.91729426383972,47,8
61.194032430648804,47,9
65.21739363670349,47,10
51.99999809265137,47,11
54.31034564971924,47,12
69.29134130477905,47,13
56.81818127632141,47,14
53.448277711868286,47,15
60.15037298202515,47,16
67.46031641960144,47,17
74.52830076217651,47,18
62.38532066345215,47,19
53.46534848213196,47,20
74.30555820465088,47,21
62.5,47,22
54.700857400894165,47,23
50.0,47,24
60.00000238418579,47,25
58.53658318519592,47,26
60.176992416381836,47,27
65.6862735748291,47,28
62.28070259094238,47,29
69.15887594223022,47,30
65.78947305679321,47,31
47.57281541824341,47,32
61.26126050949097,47,33
62.85714507102966,47,34
60.28369069099426,47,35
72.07792401313782,47,36
57.96178579330444,47,37
69.2307710647583,47,38
65.78947305679321,47,39
57.971012592315674,47,40
51.35135054588318,47,41
49.264705181121826,47,42
64.58333134651184,47,43
58.90411138534546,47,44
81.90476298332214,47,45
59.84252095222473,47,46
80.53097128868103,47,47
71.18644118309021,48,1
66.15384817123413,48,2
62.32876777648926,48,3
73.29545617103577,48,4
70.3125,48,5
71.66666388511658,48,6
63.4782612323761,48,7
69.92481350898743,48,8
61.94030046463013,48,9
71.7391312122345,48,10
60.00000238418579,48,11
60.34482717514038,48,12
71.65354490280151,48,13
