condition_id,inference_condition,architecture,maintenance,router_seed,split,stage,task,examples,routed_accuracy,oracle_accuracy,selection_accuracy
A3,I-U100,r3,flat_full,1993,validation,50,14,93,70.96774193548387,94.6236559139785,76.34408602150538
A3,I-U100,r3,flat_full,1993,validation,50,15,106,65.09433962264151,93.39622641509435,70.75471698113208
A3,I-U100,r3,flat_full,1993,validation,50,16,99,64.64646464646465,96.96969696969697,66.66666666666666
A3,I-U100,r3,flat_full,1993,validation,50,17,85,57.647058823529406,95.29411764705881,62.35294117647059
A3,I-U100,r3,flat_full,1993,validation,50,18,87,71.26436781609196,98.85057471264368,72.41379310344827
A3,I-U100,r3,flat_full,1993,validation,50,19,82,68.29268292682927,100.0,68.29268292682927
A3,I-U100,r3,flat_full,1993,validation,50,20,116,67.24137931034483,94.82758620689656,70.6896551724138
A3,I-U100,r3,flat_full,1993,validation,50,21,96,57.291666666666664,97.91666666666666,57.291666666666664
A3,I-U100,r3,flat_full,1993,validation,50,22,94,56.38297872340425,93.61702127659575,57.446808510638306
A3,I-U100,r3,flat_full,1993,validation,50,23,70,64.28571428571429,98.57142857142858,65.71428571428571
A3,I-U100,r3,flat_full,1993,validation,50,24,53,52.83018867924528,98.11320754716981,52.83018867924528
A3,I-U100,r3,flat_full,1993,validation,50,25,99,61.61616161616161,98.98989898989899,61.61616161616161
A3,I-U100,r3,flat_full,1993,validation,50,26,91,51.64835164835166,95.6043956043956,54.94505494505495
A3,I-U100,r3,flat_full,1993,validation,50,27,81,54.32098765432099,97.53086419753086,55.55555555555556
A3,I-U100,r3,flat_full,1993,validation,50,28,92,52.17391304347826,98.91304347826086,52.17391304347826
A3,I-U100,r3,flat_full,1993,validation,50,29,171,65.49707602339181,98.24561403508771,65.49707602339181
A3,I-U100,r3,flat_full,1993,validation,50,30,91,56.043956043956044,98.9010989010989,56.043956043956044
A3,I-U100,r3,flat_full,1993,validation,50,31,82,57.3170731707317,97.5609756097561,59.756097560975604
A3,I-U100,r3,flat_full,1993,validation,50,32,89,56.17977528089888,100.0,56.17977528089888
A3,I-U100,r3,flat_full,1993,validation,50,33,57,50.877192982456144,96.49122807017544,50.877192982456144
A3,I-U100,r3,flat_full,1993,validation,50,34,112,46.42857142857143,98.21428571428571,46.42857142857143
A3,I-U100,r3,flat_full,1993,validation,50,35,123,60.16260162601627,100.0,60.16260162601627
A3,I-U100,r3,flat_full,1993,validation,50,36,126,36.507936507936506,96.82539682539682,36.507936507936506
A3,I-U100,r3,flat_full,1993,validation,50,37,114,56.14035087719298,96.49122807017544,57.89473684210527
A3,I-U100,r3,flat_full,1993,validation,50,38,92,40.21739130434783,97.82608695652173,41.30434782608695
A3,I-U100,r3,flat_full,1993,validation,50,39,110,37.27272727272727,97.27272727272728,38.18181818181819
A3,I-U100,r3,flat_full,1993,validation,50,40,60,33.33333333333333,98.33333333333333,33.33333333333333
A3,I-U100,r3,flat_full,1993,validation,50,41,109,34.862385321100916,100.0,34.862385321100916
A3,I-U100,r3,flat_full,1993,validation,50,42,76,51.31578947368421,100.0,51.31578947368421
A3,I-U100,r3,flat_full,1993,validation,50,43,58,41.37931034482759,98.27586206896551,41.37931034482759
A3,I-U100,r3,flat_full,1993,validation,50,44,85,51.76470588235295,100.0,51.76470588235295
A3,I-U100,r3,flat_full,1993,validation,50,45,102,32.35294117647059,97.05882352941177,33.33333333333333
A3,I-U100,r3,flat_full,1993,validation,50,46,91,60.43956043956044,97.8021978021978,61.53846153846154
A3,I-U100,r3,flat_full,1993,validation,50,47,91,49.45054945054945,98.9010989010989,49.45054945054945
A3,I-U100,r3,flat_full,1993,validation,50,48,85,36.470588235294116,96.47058823529412,36.470588235294116
A3,I-U100,r3,flat_full,1993,validation,50,49,89,76.40449438202246,100.0,76.40449438202246
A4,I-U100,r2,flat_full,1993,validation,50,0,94,63.829787234042556,94.68085106382979,69.14893617021278
A4,I-U100,r2,flat_full,1993,validation,50,1,102,67.64705882352942,94.11764705882352,72.54901960784314
A4,I-U100,r2,flat_full,1993,validation,50,2,117,71.7948717948718,98.29059829059828,72.64957264957265
A4,I-U100,r2,flat_full,1993,validation,50,3,139,71.22302158273382,98.56115107913669,71.94244604316546
A4,I-U100,r2,flat_full,1993,validation,50,4,103,65.0485436893204,92.23300970873787,69.90291262135922
A4,I-U100,r2,flat_full,1993,validation,50,5,95,85.26315789473684,96.84210526315789,86.31578947368422
A4,I-U100,r2,flat_full,1993,validation,50,6,92,78.26086956521739,100.0,78.26086956521739
A4,I-U100,r2,flat_full,1993,validation,50,7,107,69.1588785046729,100.0,69.1588785046729
A4,I-U100,r2,flat_full,1993,validation,50,8,105,71.42857142857143,98.09523809523809,73.33333333333333
A4,I-U100,r2,flat_full,1993,validation,50,9,109,76.14678899082568,100.0,76.14678899082568
A4,I-U100,r2,flat_full,1993,validation,50,10,79,63.29113924050633,93.67088607594937,65.82278481012658
A4,I-U100,r2,flat_full,1993,validation,50,11,93,62.365591397849464,98.9247311827957,63.44086021505376
A4,I-U100,r2,flat_full,1993,validation,50,12,102,63.725490196078425,99.01960784313727,63.725490196078425
A4,I-U100,r2,flat_full,1993,validation,50,13,106,72.64150943396226,100.0,72.64150943396226
A4,I-U100,r2,flat_full,1993,validation,50,14,93,72.04301075268818,94.6236559139785,77.41935483870968
A4,I-U100,r2,flat_full,1993,validation,50,15,106,65.09433962264151,93.39622641509435,70.75471698113208
A4,I-U100,r2,flat_full,1993,validation,50,16,99,62.62626262626263,96.96969696969697,64.64646464646465
A4,I-U100,r2,flat_full,1993,validation,50,17,85,58.82352941176471,95.29411764705881,63.52941176470588
A4,I-U100,r2,flat_full,1993,validation,50,18,87,72.41379310344827,98.85057471264368,73.5632183908046
A4,I-U100,r2,flat_full,1993,validation,50,19,82,65.85365853658537,100.0,65.85365853658537
A4,I-U100,r2,flat_full,1993,validation,50,20,116,66.37931034482759,94.82758620689656,68.96551724137932
A4,I-U100,r2,flat_full,1993,validation,50,21,96,65.625,97.91666666666666,65.625
A4,I-U100,r2,flat_full,1993,validation,50,22,94,59.57446808510638,93.61702127659575,60.63829787234043
A4,I-U100,r2,flat_full,1993,validation,50,23,70,62.857142857142854,98.57142857142858,64.28571428571429
A4,I-U100,r2,flat_full,1993,validation,50,24,53,62.264150943396224,98.11320754716981,62.264150943396224
