condition,stage,task,accuracy,examples,correct,forgetting,backward_transfer
srt_h1024,17,3,83.56164383561644,146,122,8.904109589041099,-7.534246575342465
srt_h1024,17,4,84.6590909090909,176,149,9.090909090909093,-9.090909090909093
srt_h1024,17,5,86.71875,128,111,4.6875,-4.6875
srt_h1024,17,6,81.66666666666667,120,98,6.666666666666657,-6.666666666666657
srt_h1024,17,7,86.95652173913044,115,100,5.217391304347828,-5.217391304347828
srt_h1024,17,8,88.7218045112782,133,118,5.26315789473685,-5.26315789473685
srt_h1024,17,9,83.58208955223881,134,112,5.970149253731336,-4.477611940298502
srt_h1024,17,10,83.33333333333333,138,115,4.34782608695653,-2.173913043478265
srt_h1024,17,11,91.0,100,91,3.0,-3.0
srt_h1024,17,12,83.62068965517241,116,97,6.0344827586206975,-6.0344827586206975
srt_h1024,17,13,88.97637795275591,127,113,3.149606299212593,-2.3622047244094375
srt_h1024,17,14,87.87878787878788,132,116,3.030303030303031,-3.030303030303031
srt_h1024,17,15,84.48275862068965,116,98,3.448275862068968,-3.448275862068968
srt_h1024,17,16,80.45112781954887,133,107,6.766917293233078,-6.766917293233078
srt_h1024,17,17,93.65079365079364,126,118,,
srt_h1024,18,1,82.20338983050847,118,97,7.6271186440678065,-7.6271186440678065
srt_h1024,18,2,86.15384615384616,130,112,6.92307692307692,-2.3076923076923066
srt_h1024,18,3,81.5068493150685,146,119,10.958904109589042,-9.589041095890408
