condition,score_mode,bin,lower,upper,examples,accuracy,confidence
offline_seed_1995,calibrated,6,0.4,0.4666666666666667,190,0.43157894736842106,0.43721482021726116
offline_seed_1995,calibrated,7,0.4666666666666667,0.5333333333333333,189,0.4973544973544973,0.502592504936019
offline_seed_1995,calibrated,8,0.5333333333333333,0.6,202,0.5445544554455446,0.5658647518640634
offline_seed_1995,calibrated,9,0.6,0.6666666666666666,214,0.5841121495327103,0.6341857163322345
offline_seed_1995,calibrated,10,0.6666666666666666,0.7333333333333333,198,0.7070707070707071,0.7008812062875102
offline_seed_1995,calibrated,11,0.7333333333333333,0.8,275,0.8327272727272728,0.7666699876198082
offline_seed_1995,calibrated,12,0.8,0.8666666666666667,345,0.8405797101449275,0.8359422672514645
offline_seed_1995,calibrated,13,0.8666666666666667,0.9333333333333333,583,0.9039451114922813,0.9052065143280399
offline_seed_1995,calibrated,14,0.9333333333333333,1.0,3079,0.9801883728483274,0.9832130459008586
srt_h4096_standard_rho80_unit8,raw,0,0.0,0.06666666666666667,0,,
srt_h4096_standard_rho80_unit8,raw,1,0.06666666666666667,0.13333333333333333,7,0.0,0.1174440645158782
srt_h4096_standard_rho80_unit8,raw,2,0.13333333333333333,0.2,45,0.044444444444444446,0.17364589607545858
srt_h4096_standard_rho80_unit8,raw,3,0.2,0.26666666666666666,102,0.11764705882352941,0.23445502408683627
srt_h4096_standard_rho80_unit8,raw,4,0.26666666666666666,0.3333333333333333,163,0.2331288343558282,0.3012082105641577
srt_h4096_standard_rho80_unit8,raw,5,0.3333333333333333,0.4,221,0.23529411764705882,0.364673400963933
srt_h4096_standard_rho80_unit8,raw,6,0.4,0.4666666666666667,233,0.33905579399141633,0.43502523113864666
srt_h4096_standard_rho80_unit8,raw,7,0.4666666666666667,0.5333333333333333,219,0.3424657534246575,0.5007453738962048
srt_h4096_standard_rho80_unit8,raw,8,0.5333333333333333,0.6,221,0.4751131221719457,0.5655743016423718
srt_h4096_standard_rho80_unit8,raw,9,0.6,0.6666666666666666,238,0.46638655462184875,0.6343726960767326
srt_h4096_standard_rho80_unit8,raw,10,0.6666666666666666,0.7333333333333333,197,0.5685279187817259,0.7039700087270228
srt_h4096_standard_rho80_unit8,raw,11,0.7333333333333333,0.8,270,0.5740740740740741,0.7681368364006341
srt_h4096_standard_rho80_unit8,raw,12,0.8,0.8666666666666667,275,0.6290909090909091,0.8352724990367774
srt_h4096_standard_rho80_unit8,raw,13,0.8666666666666667,0.9333333333333333,439,0.7676537585421412,0.9037903318826709
srt_h4096_standard_rho80_unit8,raw,14,0.9333333333333333,1.0,3370,0.9456973293768546,0.9895430794166571
srt_h4096_standard_rho80_unit8,calibrated,0,0.0,0.06666666666666667,1,0.0,0.060245634196452125
