condition,learned_permutation_count,active_node_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
integrator_uniform_replay,79,5,0.7431269884109497,0.9400565028190613,512,256,256,4,0.1680759359151125,0.0,0.028291091322898865,0.06999078206717968,0.06979406252503395,4608,2560,2048,2048,10,32,16,1024,20224,101120,20224
integrator_uniform_replay,80,2,0.75244140625,0.9129804372787476,512,256,256,4,0.12172811478376389,0.0,0.030923057347536087,0.035647619515657425,0.055157437920570374,3072,1024,2048,2048,4,32,16,1024,20480,40960,20480
integrator_uniform_replay,81,3,0.7592592835426331,0.9353124499320984,512,256,256,4,0.13611108250916004,0.0,0.02811366505920887,0.04330036602914333,0.06469705142080784,3584,1536,2048,2048,6,32,16,1024,20736,62208,20736
integrator_uniform_replay,82,3,0.750285804271698,0.9551557302474976,512,256,256,4,0.1344602946192026,0.0,0.02913905307650566,0.04177030920982361,0.06355093233287334,3584,1536,2048,2048,6,32,16,1024,20992,62976,20992
integrator_uniform_replay,83,4,0.7386106848716736,0.9638437628746033,512,256,256,4,0.1542701441794634,0.0,0.030286988243460655,0.0578739196062088,0.06610923632979393,4096,2048,2048,2048,8,32,16,1024,21248,84992,21248
integrator_uniform_replay,84,3,0.7425130009651184,0.9322260618209839,512,256,256,4,0.14645545929670334,0.0,0.0318585354834795,0.04570869356393814,0.0688882302492857,3584,1536,2048,2048,6,32,16,1024,21504,64512,21504
integrator_uniform_replay,85,4,0.7476562261581421,0.9283820390701294,512,256,256,4,0.15158136747777462,0.0,0.03049631603062153,0.055582888424396515,0.06550216302275658,4096,2048,2048,2048,8,32,16,1024,21760,87040,21760
integrator_uniform_replay,86,4,0.743323028087616,0.9478209614753723,512,256,256,4,0.16927542351186275,0.0,0.0357037466019392,0.0652550533413887,0.06831662356853485,4096,2048,2048,2048,8,32,16,1024,22016,88064,22016
integrator_uniform_replay,87,5,0.7404813170433044,0.9152436256408691,512,256,256,4,0.16126509755849838,0.0,0.03318452648818493,0.06574705429375172,0.06233351677656174,4608,2560,2048,2048,10,32,16,1024,22272,111360,22272
integrator_uniform_replay,88,3,0.7600319385528564,0.9135608673095703,512,256,256,4,0.14375989511609077,0.0,0.03146076016128063,0.04547901637852192,0.06682011857628822,3584,1536,2048,2048,6,32,16,1024,22528,67584,22528
integrator_uniform_replay,89,4,0.755574107170105,0.8991490006446838,512,256,256,4,0.1451603602617979,0.0,0.029958363622426987,0.05697681941092014,0.058225177228450775,4096,2048,2048,2048,8,32,16,1024,22784,91136,22784
integrator_uniform_replay,90,4,0.7472222447395325,0.9407551288604736,512,256,256,4,0.16388574987649918,0.0,0.033268192782998085,0.06280378997325897,0.06781376712024212,4096,2048,2048,2048,8,32,16,1024,23040,92160,23040
integrator_uniform_replay,91,5,0.7469522953033447,0.9373282194137573,512,256,256,4,0.17313911765813828,0.0,0.034919703379273415,0.06670700386166573,0.07151241041719913,4608,2560,2048,2048,10,32,16,1024,23296,116480,23296
integrator_uniform_replay,92,4,0.747664749622345,0.9385048151016235,512,256,256,4,0.17598522827029228,0.0,0.03401551395654678,0.06042325869202614,0.08154645562171936,4096,2048,2048,2048,8,32,16,1024,23552,94208,23552
